Hex  Name                 UWP       Remarks              {Ix} (Ex) [Cx] N B  Z PBG W A    Stellar
---- -------------------- --------- -------------------- ---- ---- ---- - -- - --- - ---- -------
0203 Baskopa              C472232-5 Lo Ni                               - -  - 623   NaXX      
0207 Griena               D4378A8-8                                     - S  - 922   ??       
1109                      ???????-?                                     - -  - ???   ??       
1405                      ???????-?                                     - -  - ???   ??       
1910                      ???????-?                                     - -  - ???   ??       
2507                      ???????-?                                     - -  - ???   ??       
2609                      ???????-?                                     - -  - ???   ??       
2707                      ???????-?                                     - -  - ???   ??       
3002                      ???????-?                                     - -  - ???   ??       
3006                      ???????-?                                     - -  - ???   ??       
3110                      ???????-?                                     - -  - ???   ??       
0211 Emkaan               C424325-7 Lo Ni                               - S  - 104   NaXX      
0419                      ???????-?                                     - -  - ???   ??       
0516                      ???????-?                                     - -  - ???   ??       
0520                      ???????-?                                     - -  - ???   ??       
0815                      ???????-?                                     - -  - ???   ??       
0915                      ???????-?                                     - -  - ???   ??       
1013                      ???????-?                                     - -  - ???   ??       
1113                      ???????-?                                     - -  - ???   ??       
1412                      ???????-?                                     - -  - ???   ??       
1512                      ???????-?                                     - -  - ???   ??       
1520                      ???????-?                                     - -  - ???   ??       
2211                      ???????-?                                     - -  - ???   ??       
2318                      ???????-?                                     - -  - ???   ??       
2513                      ???????-?                                     - -  - ???   ??       
2612                      ???????-?                                     - -  - ???   ??       
2620                      ???????-?                                     - -  - ???   ??       
3219                      ???????-?                                     - -  - ???   ??       
0425                      ???????-?                                     - -  - ???   ??       
0525                      ???????-?                                     - -  - ???   ??       
0928                      ???????-?                                     - -  - ???   ??       
1621                      ???????-?                                     - -  - ???   ??       
1728                      ???????-?                                     - -  - ???   ??       
2025                      ???????-?                                     - -  - ???   ??       
2129                      ???????-?                                     - -  - ???   ??       
2325                      ???????-?                                     - -  - ???   ??       
2923                      ???????-?                                     - -  - ???   ??       
3028                      ???????-?                                     - -  - ???   ??       
3125                      ???????-?                                     - -  - ???   ??       
0138                      ???????-?                                     - -  - ???   ??       
0139                      ???????-?                                     - -  - ???   ??       
0636 Mawin                A233456-F Ni Po                               - N  - 403   NaXX       
0738                      ???????-?                                     - -  - ???   ??       
0940                      ???????-?                                     - -  - ???   ??       
1133                      ???????-?                                     - -  - ???   ??       
1333                      ???????-?                                     - -  - ???   ??       
1632                      ???????-?                                     - -  - ???   ??       
1734                      ???????-?                                     - -  - ???   ??       
1940                      ???????-?                                     - -  - ???   ??       
2434                      ???????-?                                     - -  - ???   ??       
2437                      ???????-?                                     - -  - ???   ??       
2533                      ???????-?                                     - -  - ???   ??       
2538                      ???????-?                                     - -  - ???   ??       
2938                      ???????-?                                     - -  - ???   ??       
2939                      ???????-?                                     - -  - ???   ??       
2940                      ???????-?                                     - -  - ???   ??       
